Subject,Trial,DBS,Interference,Accuracy,RT
1,1,0,0,1,0.61152607
1,2,0,1,1,0.728039903
1,3,0,0,1,0.48186729
1,4,0,0,1,0.512289846
1,5,0,1,1,0.656878387
1,6,0,0,1,0.502638644
1,7,0,0,1,0.565256923
1,8,0,1,1,0.773905046
1,9,0,1,1,0.7623239559999999
1,10,0,0,1,0.573146107
1,11,0,0,1,0.669488932
1,12,0,1,1,0.765114952
1,13,0,1,1,0.763110194
1,14,0,0,1,0.551976907
1,15,0,0,1,0.528183521
1,16,0,1,1,0.6971243770000001
1,17,0,0,1,0.612632549
1,18,0,1,1,0.656318579
1,19,0,0,1,0.532745286
1,20,0,0,1,0.570379294
1,21,0,1,1,0.652159533
1,22,0,0,1,0.5692541329999999
1,23,0,1,1,0.662183922
1,24,0,0,1,0.569300359
1,25,0,0,1,0.667915028
1,26,0,1,1,0.650413416
1,27,0,0,1,0.576677764
1,28,0,1,1,0.8863272759999999
1,29,0,0,1,0.546863656
1,30,0,0,1,0.578523762
1,31,0,1,1,0.851185098
1,32,0,0,1,0.586011233
1,33,0,1,1,0.6995207529999999
1,34,0,1,1,0.65790886
1,35,0,0,1,0.534063194
1,36,0,1,1,0.77526048
1,37,0,0,1,0.53953694
1,38,0,1,1,0.61867654
1,39,0,0,1,0.509555868
1,40,0,0,1,0.570114907
1,41,0,1,1,0.688512668
1,42,0,0,1,0.502349215
1,43,0,0,1,0.555621441
1,44,0,1,1,0.6514410079999999
1,45,0,1,0,0.7843983459999999
1,46,0,0,1,0.592623652
1,47,0,1,1,1.025693062
1,48,0,1,1,0.686349251
1,49,0,0,1,0.584400376
1,50,0,1,1,0.582110595
1,51,0,0,1,0.538748865
1,52,0,1,1,0.7434877740000001
1,53,0,0,1,0.551722661
1,54,0,1,1,0.6308817179999999
1,55,0,0,1,0.5332704079999999
1,56,0,1,1,0.805232396
1,57,0,1,1,0.7415475020000001
1,58,0,0,1,0.594729258
1,59,0,1,1,0.847590672
1,60,0,1,1,1.013468195
1,61,0,0,1,0.561886631
1,62,0,1,1,0.654678648
1,63,0,1,1,0.650742562
1,64,0,0,1,0.5408631660000001
1,65,0,1,1,0.609640355
1,66,0,1,1,0.578649623
1,67,0,0,1,0.547790432
1,68,0,1,1,0.604780393
1,69,0,1,1,0.804118235
1,70,0,0,1,0.56740844
1,71,0,1,1,0.751781811
1,72,0,0,1,0.65923948
1,73,0,0,1,0.602049511
1,74,0,1,1,0.62681686
1,75,0,0,1,0.540251392
1,76,0,0,1,0.506263612
1,77,0,1,1,0.703412919
1,78,0,0,1,0.69407071
1,79,0,0,1,0.607600041
1,80,0,1,1,0.674779646
1,81,0,1,1,0.832859647
1,82,0,0,1,0.65986837
1,83,0,0,1,0.63155191
1,84,0,1,1,0.7463867129999999
1,85,0,0,1,0.566041392
1,86,0,0,1,0.581476859
1,87,0,1,1,0.704201229
1,88,0,0,1,0.564183667
1,89,0,1,1,0.718115559
1,90,0,0,1,0.539704839
1,91,0,1,1,0.662725875
1,92,0,0,1,0.6533921079999999
1,93,0,1,1,0.755166282
1,94,0,0,1,0.649490695
1,95,0,0,1,0.654983458
1,96,0,1,1,0.706454712
1,97,0,0,1,0.575722689
1,98,0,1,1,0.853163109
1,99,0,1,1,0.6823961559999999
1,100,0,0,1,0.628529757
1,101,0,1,1,0.697364159
1,102,0,0,1,0.5196572110000001
1,103,0,1,1,0.64321153
1,104,0,0,1,0.566310561
1,105,0,1,1,0.634158759
1,106,0,1,1,0.594924407
1,107,0,0,1,0.56806712
1,108,0,0,1,0.596249224
1,109,0,1,1,0.634709194
1,110,0,0,1,0.547465722
1,111,0,1,1,0.658760266
1,112,0,0,1,0.786402177
1,113,0,0,1,0.543693461
1,114,0,1,1,0.5846001789999999
1,115,0,0,1,0.630180125
1,116,0,0,1,0.670536017
1,117,0,1,1,0.6881345170000001
1,118,0,0,1,0.623787019
1,119,0,1,1,0.641276481
1,120,0,0,1,0.56986023
1,121,0,1,1,0.774964723
1,122,0,0,1,0.573769164
1,123,0,1,1,1.001332195
1,124,0,0,1,0.559086301
1,125,0,1,1,0.608606981
1,126,0,1,1,0.659225285
1,127,0,0,1,0.578778251
1,128,0,1,1,1.020300334
1,129,0,1,1,0.72707509
1,130,0,0,1,0.6673646670000001
1,131,0,1,1,0.5949562629999999
1,132,0,0,1,0.559774832
1,133,0,1,1,0.6043383170000001
1,134,0,1,1,0.660463512
1,135,0,0,1,0.546410849
1,136,0,1,1,0.684904547
1,137,0,0,1,0.776460978
1,138,0,1,1,0.619957374
1,139,0,1,1,0.969390831
1,140,0,0,1,0.617949866
1,141,0,1,1,0.786216791
1,142,0,1,1,0.755412691
1,143,0,0,1,0.548971192
1,144,0,1,1,0.8229948909999999
1,1,1,1,1,0.648715477
1,2,1,1,1,0.6229237772
1,3,1,0,1,0.7870047686
1,4,1,1,1,0.7235355714
1,5,1,1,1,0.7792569863
1,6,1,0,1,0.6496696185999999
1,7,1,1,1,0.6098505998
1,8,1,0,1,0.7797839034
1,9,1,1,1,0.5853280943
1,10,1,0,1,0.6051222522999999
1,11,1,1,1,0.9287047936
1,12,1,1,1,0.6907418731999999
1,13,1,0,1,0.5779110854
1,14,1,1,1,0.6333391638
1,15,1,0,1,0.6177119211
1,16,1,0,1,0.7705206781999999
1,17,1,1,1,0.6796161195
1,18,1,1,1,0.7239525202
1,19,1,0,1,0.5317599585
1,20,1,1,1,0.6779840817
1,21,1,1,1,0.6660282181
1,22,1,0,1,0.579693696
1,23,1,1,1,0.6940056929999999
